attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
45360,5738,1,"low","Nmap.Script.Scanner","SSL",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
45360,5741,1,"low","Nmap.Script.Scanner","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
43799,5741,1,"medium","MS.SMB.Server.Trans.Peeking.Data.Information.Disclosure","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43799"
45360,5741,2,"low","Nmap.Script.Scanner","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
45360,5741,2,"low","Nmap.Script.Scanner","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
45360,5743,1,"low","Nmap.Script.Scanner","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
43963,5743,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
45360,5743,1,"low","Nmap.Script.Scanner","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID45360"
43963,5744,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43796,5744,1,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43963,5768,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43796,5768,1,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43963,5768,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43963,5796,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43963,5796,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43796,5744,5,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43796,5744,5,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43796,5744,5,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43796,5744,5,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43796,5744,5,"critical","MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43796"
43963,5796,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
43963,5796,1,"critical","Backdoor.DoublePulsar","NBSS",192.168.1.135,192.168.1.201,"ips","signature","http://www.fortinet.com/ids/VID43963"
